"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115137856",837.722347044337,6.17177887888863,0.794306223783405,3.30047561922542e-08,0.000156028328320793,"equistatin-like","gonad"
"LOC115112426",197.66563369121,6.02484322320622,0.455025025469872,4.12010373173471e-08,0.000156028328320793,"serum amyloid A-5 protein-like","gonad"
"LOC115112427",278.917581430526,5.95309109009949,0.450748298862965,5.90638026053084e-08,0.000171849357917911,"serum amyloid A-5 protein-like","gonad"
"LOC115105764",862.14369134894,5.23424079832577,0.598233944050852,3.99097925409618e-05,0.00405875972915083,"neurofibromin-like","gonad"
"LOC115137857",204.858418933411,5.01926610823335,0.883667763072112,1.32604667337212e-05,0.00232487905187974,"ladderlectin-like","gonad"
"LOC115137859",2236.16054301084,4.95065034439112,0.611871180428968,0.000369626258934647,0.0119231230203195,"saxiphilin-like","gonad"
"LOC115138859",889.329682897913,4.67096150046437,0.761253872697228,0.0010646497075667,0.0222261766403257,"ladderlectin-like","gonad"
"LOC115138857",272.587001677974,4.60931912325403,0.822738685768296,0.000502396750924322,0.0140931592277808,"ladderlectin-like","gonad"
"LOC115125542",81.0734740618532,4.34602222554089,0.65814084856342,1.46002177411193e-05,0.00248325010156366,"calcyphosin-like protein, transcript variant X1","gonad"
"LOC115139209",32.6667886820096,3.77121544077204,0.692711989111168,1.06545411104161e-05,0.00227619574542032,"sterile alpha motif domain-containing protein 15-like, transcript variant X2","gonad"
"fam81b",11.7126759295367,3.2853772537989,0.590955614524989,0.0186039953145051,0.121262186327076,"family with sequence similarity 81 member B, transcript variant X1","gonad"
"slc6a14",15.2527412086659,3.16971041459302,0.460204562984043,0.267846558699222,0.537766365069427,"solute carrier family 6 member 14","gonad"
"lg27h9orf116",41.7679479335699,3.16888869646759,0.545107170470039,1.41934888076724e-05,0.00244321555066615,"linkage group 27 C9orf116 homolog","gonad"
"LOC115142066",427.480512982859,3.11545548978859,0.476271352177672,0.000235488142766525,0.00946428057947763,"hepcidin-like","gonad"
"LOC115122575",16.493992945772,2.92092520661335,0.395036668000082,0.290001900524507,0.560382282521843,"polyubiquitin-like","gonad"
"ccdc173",30.5465850858778,2.8799461441375,0.561357778947172,2.20860699098305e-05,0.00296595555845844,"coiled-coil domain containing 173","gonad"
