"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115137856",837.722347044337,3.44513123807558,1.14261472477443,3.30047561922542e-08,0.000156028328320793,"equistatin-like","gonad"
"LOC115143451",21.0548421149284,1.83343392427312,0.912170900707418,2.73977639164201e-07,0.000350957828574567,"centromere protein S-like","gonad"
"LOC115112426",197.66563369121,1.62598187583746,0.568725182563103,4.12010373173471e-08,0.000156028328320793,"serum amyloid A-5 protein-like","gonad"
"LOC115112427",278.917581430526,1.56664033820543,0.54230161479118,5.90638026053084e-08,0.000171849357917911,"serum amyloid A-5 protein-like","gonad"
"LOCNA.2158",72.8560011859613,1.39579340847817,0.297961837489135,1.93850436997996e-09,1.83527901227853e-05,NA,"gonad"
"LOCNA.4556",70.0588804692576,1.36797705500617,0.483337795223372,3.67536094607932e-07,0.000409370350082423,NA,"gonad"
"LOCNA.1597",92.7277085063442,1.23325011978227,0.403397854663306,9.17172249137134e-07,0.000789393478973256,NA,"gonad"
"LOC115139472",348.294552828116,1.22482196838084,0.325248196119814,2.47782522198442e-07,0.000350957828574567,"enoyl-[acyl-carrier-protein] reductase, mitochondrial-like, transcript variant X7","gonad"
"LOC115141572",126.135492726733,1.18482829142369,0.375902994570089,1.25804144710292e-06,0.000952840592035755,"cytochrome c oxidase subunit 7A2, mitochondrial-like","gonad"
"LOCNA.498",18.5988671979385,1.14291423281444,0.442222578142115,3.76504436891335e-06,0.00162025261648578,NA,"gonad"
"LOCNA.203",34.9954783027648,1.12984668986642,0.609321692465078,6.46124290920556e-06,0.00197328442719044,NA,"gonad"
"LOCNA.4713",239.100974710118,1.11270347278459,0.250021458316454,6.72831391677618e-08,0.000171849357917911,NA,"gonad"
"LOC115112246",43.2790688590586,1.07157531145976,0.30586273219021,1.54800520064285e-06,0.00109368310140827,"bolA-like protein 3","gonad"
"LOC115139209",32.6667886820096,1.06877240691227,0.810191634882715,1.06545411104161e-05,0.00227619574542032,"sterile alpha motif domain-containing protein 15-like, transcript variant X2","gonad"
"LOC115130780",189.171693993668,1.06052597410879,0.235810146545392,7.26060133796295e-08,0.000171849357917911,"caltractin-like","gonad"
"LOCNA.2833",485.47610329288,1.05593571344363,0.301294585403348,1.69969028890503e-06,0.00112685019184363,NA,"gonad"
"LOC115109003",96.0454705679456,1.05401286462552,0.330292172225393,3.45024908997159e-06,0.00159636790019138,"small nuclear ribonucleoprotein F-like","gonad"
"LOC115135546",913.339769842022,1.05295048423405,0.316235084874541,2.60050563553974e-06,0.00146770238895545,"diamine acetyltransferase 1-like","gonad"
"LOC115109525",571.104595396265,1.04834939980916,0.24081992202616,1.31579094278641e-07,0.000276827794462896,"calcium and integrin-binding protein 1-like","gonad"
"LOC115142005",33.7289282061508,1.04599703926182,0.355531044140443,5.72443295541895e-06,0.00188661648252859,"ubiquinol-cytochrome-c reductase complex assembly factor 2-like, transcript variant X2","gonad"
"LOC115103388",197.443874726661,1.03917595217152,0.302333298816481,2.20975127883235e-06,0.00130755126452158,"LYR motif-containing protein 4A","gonad"
"LOC115114450",25.8583991510283,1.03580868064809,0.415971784485228,1.07547818861683e-05,0.00227619574542032,"protein canopy-1-like, transcript variant X5","gonad"
"LOCNA.4163",41.7679479335699,1.02248704300313,0.551642299319964,1.41934888076724e-05,0.00244321555066615,NA,"gonad"
"LOCNA.536",110.800055554932,1.02248649823806,0.245050665746316,2.78023101590626e-07,0.000350957828574567,NA,"gonad"
"LOC115107282",313.573402595412,1.02153947517836,0.306912444805849,3.15912304531307e-06,0.00159636790019138,"small integral membrane protein 8-like","gonad"
"LOCNA.3835",255.369570837301,1.02078413362147,0.270728366837431,1.00363796606993e-06,0.000826255864675395,NA,"gonad"
"LOC115137857",204.858418933411,1.0150241100371,1.09828871554037,1.32604667337212e-05,0.00232487905187974,"ladderlectin-like","gonad"
"LOCNA.2298",33.124463673213,1.01200330794095,0.572060752682934,1.52155729533849e-05,0.00250092480341227,NA,"gonad"
"LOC115124990",48.4226546071914,1.00990989655299,0.328064635561921,5.77891502438121e-06,0.00188661648252859,"chemokine-like receptor 1","gonad"
"LOC115125542",81.0734740618532,1.00648468057658,0.731622623150739,1.46002177411193e-05,0.00248325010156366,"calcyphosin-like protein, transcript variant X1","gonad"
"LOC115136646",58.0516347191519,1.00126627879927,0.255458605735088,6.95169652683058e-07,0.000643392161984752,"dehydrogenase/reductase SDR family member 13-like","gonad"
"LOC115126007",217.637879207154,0.985256896349636,0.361033027456485,1.25089419006013e-05,0.00227619574542032,"glutathione S-transferase Mu 3-like","gonad"
"LOC115135550",460.628492050863,0.978238546038091,0.258501358659893,1.15091840355446e-06,0.000908026665470987,"eukaryotic translation initiation factor 1A, X-chromosomal-like","gonad"
"LOCNA.995",48.4239423871623,0.972748760308379,0.629701238360126,1.89382431834766e-05,0.00265626396058615,NA,"gonad"
"LOC115101414",581.385694472651,0.972473964416732,0.28769073433112,3.59907017532111e-06,0.00159636790019138,"eukaryotic translation initiation factor 1A, X-chromosomal-like, transcript variant X1","gonad"
"LOCNA.1262",30.5465850858778,0.96455332306214,0.55483430082584,2.20860699098305e-05,0.00296595555845844,NA,"gonad"
"LOCNA.2655",39.7071216023837,0.961743121401052,0.339552430158064,1.24334818298938e-05,0.00227619574542032,NA,"gonad"
"LOC115139187",916.68873194104,0.960928041906653,0.273295568559901,2.65245135659257e-06,0.00146770238895545,"splicing factor 3B subunit 6","gonad"
"LOC115131920",17.4986242156709,0.95850061110232,0.55687473065101,2.30343936802527e-05,0.00303767550850951,"testis-expressed protein 49-like, transcript variant X1","gonad"
"LOC115122634",205.07395412173,0.956751821091914,0.300172202691824,6.17867317304765e-06,0.00194750413619816,"tyrosine-protein kinase HCK-like","gonad"
"LOCNA.4025",111.950728225627,0.956607946579256,0.332322953432789,1.18066298723414e-05,0.00227619574542032,NA,"gonad"
"LOC115113332",1219.49072922631,0.954428176705558,0.278108183303636,3.41157336915241e-06,0.00159636790019138,"calmodulin","gonad"
"LOC115110561",54.1719802965229,0.942777492403269,0.286683663096769,5.17056108244989e-06,0.00184741748001567,"tissue factor pathway inhibitor-like, transcript variant X2","gonad"
"LOC115142018",210.238041483908,0.94084253048867,0.314636686391969,1.03510795192314e-05,0.00227619574542032,"mitochondrial import receptor subunit TOM6 homolog","gonad"
"LOC115126357",155.389959575037,0.93917330307867,0.196021158190571,3.14451895121262e-08,0.000156028328320793,"tumor necrosis factor receptor superfamily member 14-like, transcript variant X2","gonad"
"LOC115104627",117.763089018725,0.93908403025785,0.286009920712235,5.32152614581856e-06,0.0018532661121513,"CDKN2AIP N-terminal-like protein","gonad"
"LOC115124540",831.267299174987,0.93884505150151,0.282763375816043,4.85566312506048e-06,0.00180288917203186,"crustapain-like","gonad"
"LOCNA.1892",147.945821900911,0.936829104091707,0.311113162273565,1.01117558595507e-05,0.00227619574542032,NA,"gonad"
"LOC115144342",85.4102136511583,0.936185832462617,0.285582642501725,5.45846320750568e-06,0.0018532661121513,"zinc finger and BTB domain-containing protein 18-like, transcript variant X3","gonad"
"LOCNA.295",54.7514799742038,0.932905397665344,0.301362607341792,8.55839695388793e-06,0.00227619574542032,NA,"gonad"
"LOC115129520",302.433754992331,0.93252637074361,0.252947306117227,1.80371186042016e-06,0.00112685019184363,"caltractin","gonad"
"LOC115140478",133.177965753821,0.930251876073931,0.286908945693081,6.11792911139635e-06,0.00194750413619816,"signal recognition particle 9 kDa protein-like","gonad"
"LOC115141228",215.630706115407,0.929294602978143,0.309337269763162,1.06694235777479e-05,0.00227619574542032,"PLAC8-like protein 1","gonad"
"LOC115134326",316.57611167799,0.92011921067315,0.289954947427826,7.55940986790893e-06,0.00212252718005581,"heat shock factor-binding protein 1-like","gonad"
"LOC115134679",363.180930212749,0.917862100919177,0.310696458514136,1.25808269073701e-05,0.00227619574542032,"small nuclear ribonucleoprotein F-like","gonad"
