"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115112427",278.917581430526,2.29817716365885,0.21498804559297,5.42161251407845,5.90638026053084e-08,0.000171849357917911,"serum amyloid A-5 protein-like","gonad"
"LOC115112426",197.66563369121,2.28275177858374,0.214919959293435,5.48562487930015,4.12010373173471e-08,0.000156028328320793,"serum amyloid A-5 protein-like","gonad"
"LOC115112679",514.744680366101,1.79520145518715,0.198296470630478,2.37271793382002,0.0176577427554924,0.117936281860758,"uncharacterized LOC115112679","gonad"
"LOC115116509",529.805803872768,1.79040410683316,0.199042659982069,2.55283464842837,0.010685020882966,0.0872072717323109,"uncharacterized LOC115116509","gonad"
"LOCNA.4139",22.3502829880526,1.71907768481696,0.203199622004218,2.40565941517782,0.0161433069892509,0.111194440829925,NA,"gonad"
"LOC115122575",16.493992945772,1.6103148285657,0.213959442676449,-1.0581174484616,0.290001900524507,0.560382282521843,"polyubiquitin-like","gonad"
"LOC115102940",11.0738653586868,1.57730910355277,0.205616266062692,2.0726203439461,0.0382076262072565,0.183573053091703,"aquaporin FA-CHIP-like","gonad"
"LOCNA.1130",15.2527412086659,1.48942298347005,0.215026880556667,1.10803532865789,0.267846558699222,0.537766365069427,NA,"gonad"
"LOC115139403",24.084732176676,1.4625014954355,0.215022849464806,2.7949917319372,0.00519010425593044,0.055996936801164,"cbp/p300-interacting transactivator 2-like","gonad"
"LOC115141356",1129.64019049195,1.40196066226559,0.191763042533452,3.47518272515327,0.000510505485149749,0.0142572586450007,"C-type lectin domain family 4 member E-like","gonad"
"LOC115142066",427.480512982859,1.3989352268921,0.214493213579704,3.67754651468102,0.000235488142766525,0.00946428057947763,"hepcidin-like","gonad"
"LOC115141350",862.435645005745,1.37819841908882,0.198213336656917,3.26140417908571,0.00110861894482114,0.0225052893209795,"CD209 antigen-like protein E","gonad"
"LOC115105764",862.14369134894,1.35465149968547,0.204835841796736,4.10800126128158,3.99097925409618e-05,0.00405875972915083,"neurofibromin-like","gonad"
"LOC115137859",2236.16054301084,1.27753897846857,0.20352024422145,3.56087128079323,0.000369626258934647,0.0119231230203195,"saxiphilin-like","gonad"
"LOCNA.2754",11.6901602196086,1.26967905578051,0.215111874945989,1.55952551254862,0.118872051001917,0.348373670596083,NA,"gonad"
