"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115112827",73.9283352640066,3.55956694413629,0.328616119254766,0.00107281920463127,0.0651305078424534,"serum amyloid A-5 protein-like","liver"
"LOC115143107",70.0593520219347,2.9150977413157,0.559185401946116,0.188930122215003,0.509765257826169,"uncharacterized LOC115143107, transcript variant X1","liver"
"LOC115138574",64.640341795556,1.57433936228592,0.236797044424837,0.0279722283493636,0.232593816289407,"sacsin-like, transcript variant X3","liver"
"smc5",119.328697531419,1.11423515849439,0.310471136852701,0.0613334702303382,0.323326800909387,"structural maintenance of chromosomes 5","liver"
"LOC115117925",79.5360811812178,0.9447950642923,0.181743521242157,0.0669644893362486,0.334585404241115,"lysozyme C II","liver"
"LOC115122299",289.917971707057,0.938490928101726,0.309495742565532,8.77156522313642e-05,0.0290814747469895,"mannose-binding protein C-like","liver"
"LOC115127642",126.239346903355,0.880281137283511,0.209554947197309,0.337610623199059,0.642854561010753,"lysozyme C II","liver"
"LOC115132763",115.306453899614,0.755089696507942,0.461507141703997,0.00228048111253246,0.0874718206443201,"protein S100-A1-like, transcript variant X1","liver"
"LOC115107125",108.583073596139,0.749360147593581,0.726571054062827,0.00420568020434691,0.107371334663571,"anoctamin-4-like, transcript variant X2","liver"
"LOC115146293",46.7356256965599,0.747219009805044,0.221516229441849,3.08815706047042e-05,0.0266090237597237,"MARCKS-related protein 1-A-like","liver"
"LOC115128224",85.0745774021184,0.677732320627673,0.343577057567604,0.00139066898915579,0.0676872164894276,"ATPase inhibitor A, mitochondrial-like","liver"
"LOC115108050",229.733258146964,0.669109477764544,0.308552392890843,0.000927862050912837,0.061467463240845,"kinesin-like protein KIF14, transcript variant X1","liver"
"LOC115131673",100.828268389963,0.662538337280736,0.177224932847298,8.22039500787107e-06,0.0266090237597237,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115103576",155.560057498132,0.662169354179529,0.271999041818562,0.000517085627282196,0.0524348943476314,"dispanin subfamily A member 2b-like","liver"
"LOC115123160",252.12253219629,0.641692459056332,0.315748588511322,0.00127354098616704,0.0670100982937018,"ferritin, middle subunit-like","liver"
"LOC115123393",64.7158361251913,0.631520208113218,0.190384933839978,0.083760151850159,0.369749661724783,"COP9 signalosome complex subunit 1-like","liver"
"LOC115140820",44.8772531554541,0.619910023844803,0.254642831135381,0.000514333619570576,0.0524348943476314,"zinc finger MYM-type protein 1-like, transcript variant X1","liver"
"LOC115122168",47.333644407078,0.619559510855278,0.296634301197278,0.00113298286672144,0.0652607246374232,"transcription factor jun-B-like","liver"
"LOC115133286",1165.23663080331,0.610113056777594,0.180897711021807,0.0417499456264032,0.274093247682177,"40S ribosomal protein S4","liver"
"LOC115103957",358.411584845549,0.6047695932846,0.539272757996219,0.0044272422413283,0.108269851319413,"cathepsin S-like","liver"
"LOC115115591",159.659982995134,0.603586309560635,0.266325435577498,0.000784378204723866,0.0562441821509167,"dispanin subfamily A member 2b-like","liver"
"LOC115110057",3360.3129211003,0.602953150370224,0.282433692198936,0.00116646202680761,0.0658584460335578,"ferritin, middle subunit-like","liver"
"wdr45",103.888393846575,0.588165490869412,0.180117858849803,4.74585435863265e-05,0.0266090237597237,"WD repeat domain 45","liver"
"LOC115122904",1451.66527029585,0.586522126785164,0.173269760803781,0.0265067226952032,0.22778836580992,"40S ribosomal protein S4-like","liver"
"LOC115123568",154.235709163636,0.584187894829049,0.4322772518936,0.00365693180237228,0.103727209317179,"ferritin, middle subunit-like, transcript variant X2","liver"
"LOC115134326",114.47635109517,0.583658585600313,0.382681845933886,0.00296964366106904,0.0963598167264125,"heat shock factor-binding protein 1-like","liver"
"LOC115123161",148.108566323141,0.569531665728394,0.173813013932157,4.69505305261578e-05,0.0266090237597237,"ferritin, middle subunit-like","liver"
"LOC115133295",217.205891168774,0.564875405873597,0.171644420361764,4.46044153184795e-05,0.0266090237597237,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115125749",80.1559409703033,0.556783837249479,0.395035611089346,0.00353349616685392,0.102308304400293,"trypsinogen-like protein 3","liver"
