"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115139445",109.218678611193,1.78400259512747,0.518638137804455,3.43978289502516,0.00058218099472883,0.0466002202580085,"protein broad-minded-like, transcript variant X5","liver"
"LOC115107125",108.583073596139,1.24122923341734,0.433646289591738,2.86230797589876,0.00420568020434691,0.0963575161214815,"anoctamin-4-like, transcript variant X2","liver"
"LOC115122299",289.917971707057,1.10372856196278,0.281399871232163,3.92227813442093,8.77156522313642e-05,0.023835266566336,"mannose-binding protein C-like","liver"
"LOC115115566",4164.31005525425,1.08683097680652,0.49570275130425,2.19250543586241,0.0283430310216697,0.215132578108614,"metallothionein B","liver"
"LOC115132763",115.306453899614,1.07696457275166,0.352982460434244,3.05104273857336,0.00228048111253246,0.077505024494435,"protein S100-A1-like, transcript variant X1","liver"
"LOC115112827",73.9283352640066,1.07141915918936,0.327581065453184,3.27069929303495,0.00107281920463127,0.0575369878694351,"serum amyloid A-5 protein-like","liver"
"LOC115113136",124.882884168784,1.02745700424205,0.510489157030518,2.0126911416076,0.044147131883424,0.261166487020082,"echinoderm microtubule-associated protein-like 6, transcript variant X1","liver"
"LOC115103957",358.411584845549,0.982618387586036,0.345263159745241,2.84599836342539,0.0044272422413283,0.0970184912669579,"cathepsin S-like","liver"
"LOC115128224",85.0745774021184,0.905151118405507,0.283162288534931,3.19658074204979,0.00139066898915579,0.0609501806430001,"ATPase inhibitor A, mitochondrial-like","liver"
"LOC115101055",60.7065044758226,0.901687635896279,0.388075045800579,2.32348780385026,0.0201529620904045,0.181137621422423,"tubulin alpha chain, testis-specific-like","liver"
"LOC115123568",154.235709163636,0.894158711058686,0.307658829902127,2.90633202805568,0.00365693180237228,0.0941930515012181,"ferritin, middle subunit-like, transcript variant X2","liver"
"LOC115108050",229.733258146964,0.866720299053331,0.261727794208235,3.31153327324401,0.000927862050912837,0.0540280817074389,"kinesin-like protein KIF14, transcript variant X1","liver"
"LOC115134326",114.47635109517,0.855605623295118,0.287999031280743,2.97086285148323,0.00296964366106904,0.0870810616008445,"heat shock factor-binding protein 1-like","liver"
