"category","term","ontology","over_represented_pvalue","FDR","numDEInCat","numInCat"
"GO:0003735","structural constituent of ribosome","MF",8.10621211801562e-16,4.91722827078828e-12,62,241
"GO:0005840","ribosome","CC",1.48904734875532e-12,4.5162806087749e-09,49,193
"GO:0022625","cytosolic large ribosomal subunit","CC",1.01589832688063e-09,2.05414641695263e-06,27,86
"GO:0006412","translation","BP",2.82346291678091e-08,4.28178151329825e-05,41,193
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","BP",6.02398293762099e-08,7.30829609992179e-05,14,31
"GO:0005746","mitochondrial respirasome","CC",9.90431269098109e-08,0.000100132601305819,8,10
"GO:0005747","mitochondrial respiratory chain complex I","CC",1.1582039104683e-07,0.000100366641727153,18,52
"GO:0051131","chaperone-mediated protein complex assembly","BP",2.26286971226853e-07,0.000171582095932761,7,8
"GO:0005682","U5 snRNP","CC",1.52188568077729e-06,0.00102575094884389,10,20
"GO:0000387","spliceosomal snRNP assembly","BP",2.69379833567699e-06,0.00163405807042166,13,35
"GO:0016272","prefoldin complex","CC",7.42387620976526e-06,0.00375276942403634,7,11
"GO:0097250","mitochondrial respirasome assembly","BP",7.42387620976526e-06,0.00375276942403634,7,11
"GO:0005787","signal peptidase complex","CC",8.73651107856093e-06,0.00395336817783491,6,8
"GO:0005665","RNA polymerase II, core complex","CC",9.12415998840897e-06,0.00395336817783491,9,19
"GO:0008380","RNA splicing","BP",1.65111562863133e-05,0.00635343791530869,7,12
"GO:0005685","U1 snRNP","CC",1.69400893881054e-05,0.00635343791530869,12,35
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","BP",1.78055464161305e-05,0.00635343791530869,8,16
"GO:0005743","mitochondrial inner membrane","CC",2.5149174071924e-05,0.00847527166223838,22,100
"GO:0002181","cytoplasmic translation","BP",3.20702301105969e-05,0.01023884293952,12,37
"GO:1905323","telomerase holoenzyme complex assembly","BP",5.09633001311687e-05,0.0154571689297835,4,4
"GO:0005753","mitochondrial proton-transporting ATP synthase complex","CC",5.64368610183628e-05,0.0155872053171529,6,10
"GO:0042273","ribosomal large subunit biogenesis","BP",5.75948927422255e-05,0.0155872053171529,10,28
"GO:0003899","DNA-directed 5'-3' RNA polymerase activity","MF",5.9100844427055e-05,0.0155872053171529,9,23
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP",7.57318076765315e-05,0.0191412143902433,24,122
"GO:0005686","U2 snRNP","CC",8.1277902159217e-05,0.0197212701799124,10,29
"GO:0005868","cytoplasmic dynein complex","CC",0.000128101412158008,0.0298870448519415,8,20
"GO:0043248","proteasome assembly","BP",0.00019358567054328,0.041938952768412,5,8
"GO:0045047","protein targeting to ER","BP",0.00019358567054328,0.041938952768412,5,8
"GO:0051879","Hsp90 protein binding","MF",0.000213993729291046,0.0434914054707541,6,12
"GO:0006457","protein folding","BP",0.000215091026067033,0.0434914054707541,21,107
"GO:0005739","mitochondrion","CC",0.000228896866478268,0.0443344279449733,65,494
"GO:2000051","negative regulation of non-canonical Wnt signaling pathway","BP",0.000237619892415822,0.0443344279449733,4,5
"GO:0031386","protein tag activity","MF",0.000248494980238888,0.0443344279449733,9,27
"GO:0045505","dynein intermediate chain binding","MF",0.000248494980238888,0.0443344279449733,9,27
"GO:0071013","catalytic step 2 spliceosome","CC",0.000269281339766594,0.0466703030578332,17,79
"GO:0046540","U4/U6 x U5 tri-snRNP complex","CC",0.000338921337474148,0.0571082453643939,9,28
"GO:0006465","signal peptide processing","BP",0.000368998332560629,0.0604957806841291,6,13
"GO:0071011","precatalytic spliceosome","CC",0.000546477118254208,0.0760990250464685,14,62
"GO:0004888","transmembrane signaling receptor activity","MF",0.00059686505217534,0.0760990250464685,10,36
"GO:0005736","RNA polymerase I complex","CC",0.000599650865637098,0.0760990250464685,6,14
"GO:0005750","mitochondrial respiratory chain complex III","CC",0.000599650865637098,0.0760990250464685,6,14
"GO:0005751","mitochondrial respiratory chain complex IV","CC",0.000601488738274929,0.0760990250464685,9,30
"GO:0008064","regulation of actin polymerization or depolymerization","BP",0.000603748998710648,0.0760990250464685,3,3
"GO:0010466","negative regulation of peptidase activity","BP",0.000603748998710648,0.0760990250464685,3,3
"GO:0032780","negative regulation of ATP-dependent activity","BP",0.000603748998710648,0.0760990250464685,3,3
"GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","CC",0.000603748998710648,0.0760990250464685,3,3
"GO:0050861","positive regulation of B cell receptor signaling pathway","BP",0.000603748998710648,0.0760990250464685,3,3
"GO:0071261","Ssh1 translocon complex","CC",0.000603748998710648,0.0760990250464685,3,3
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity","MF",0.000616973032721497,0.0760990250464685,12,49
"GO:0001516","prostaglandin biosynthetic process","BP",0.000664894218177189,0.0760990250464685,4,6
"GO:0022904","respiratory electron transport chain","BP",0.000664894218177189,0.0760990250464685,4,6
"GO:0044183","protein folding chaperone","MF",0.000664894218177189,0.0760990250464685,4,6
"GO:0050220","prostaglandin-E synthase activity","MF",0.000664894218177189,0.0760990250464685,4,6
"GO:0030008","TRAPP complex","CC",0.000753891634844706,0.0834521659849861,5,10
"GO:0030134","COPII-coated ER to Golgi transport vesicle","CC",0.000756654983378542,0.0834521659849861,10,37
"GO:0022627","cytosolic small ribosomal subunit","CC",0.00128396089253746,0.136867153908968,13,60
"GO:0008250","oligosaccharyltransferase complex","CC",0.00128609096155806,0.136867153908968,5,11
"GO:0002082","regulation of oxidative phosphorylation","BP",0.001447346581243,0.151372488996897,4,7
"GO:0046961","proton-transporting ATPase activity, rotational mechanism","MF",0.00162024302000518,0.166582951853414,9,34
"GO:0019941","modification-dependent protein catabolic process","BP",0.0019805591067925,0.200234525696722,6,17
"GO:0005687","U4 snRNP","CC",0.00205187469889164,0.204043802024208,5,12
"GO:0033119","negative regulation of RNA splicing","BP",0.00226210609444909,0.214405243264503,3,4
"GO:0060702","negative regulation of endoribonuclease activity","BP",0.00226210609444909,0.214405243264503,3,4
"GO:0070513","death domain binding","MF",0.00226210609444909,0.214405243264503,3,4
"GO:0005839","proteasome core complex","CC",0.00261449327252039,0.237462580378617,10,43
"GO:0051087","protein-folding chaperone binding","MF",0.00261449327252039,0.237462580378617,10,43
"GO:0007004","telomere maintenance via telomerase","BP",0.00270110749194272,0.237462580378617,4,8
"GO:0034551","mitochondrial respiratory chain complex III assembly","BP",0.00270110749194272,0.237462580378617,4,8
"GO:2001234","negative regulation of apoptotic signaling pathway","BP",0.00270110749194272,0.237462580378617,4,8
"GO:0033617","mitochondrial cytochrome c oxidase assembly","BP",0.00276029520053307,0.23919929552048,6,18
"GO:0045121","membrane raft","CC",0.00376142176320719,0.321363160783307,7,25
"GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC",0.00449479551796598,0.373499035780571,5,14
"GO:0015078","proton transmembrane transporter activity","MF",0.00449479551796598,0.373499035780571,5,14
"GO:0071222","cellular response to lipopolysaccharide","BP",0.00497746813264816,0.408017860711402,6,20
"GO:0019899","enzyme binding","MF",0.00529883539749899,0.412086352836268,3,5
"GO:0030500","regulation of bone mineralization","BP",0.00529883539749899,0.412086352836268,3,5
"GO:0042030","ATPase inhibitor activity","MF",0.00529883539749899,0.412086352836268,3,5
"GO:0106035","protein maturation by [4Fe-4S] cluster transfer","BP",0.00529883539749899,0.412086352836268,3,5
"GO:0006351","DNA-templated transcription","BP",0.00566431857736683,0.434933626459585,11,55
"GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","CC",0.00606369488190623,0.456413472844137,10,48
"GO:0005742","mitochondrial outer membrane translocase complex","CC",0.00706050905535632,0.456413472844137,4,10
"GO:0035145","exon-exon junction complex","CC",0.00706050905535632,0.456413472844137,4,10
"GO:0001503","ossification","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0001533","cornified envelope","CC",0.00714791953844263,0.456413472844137,2,2
"GO:0022618","protein-RNA complex assembly","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0030677","ribonuclease P complex","CC",0.00714791953844263,0.456413472844137,2,2
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0044284","mitochondrial crista junction","CC",0.00714791953844263,0.456413472844137,2,2
"GO:0045577","regulation of B cell differentiation","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0045900","negative regulation of translational elongation","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0050178","phenylpyruvate tautomerase activity","MF",0.00714791953844263,0.456413472844137,2,2
"GO:0055070","copper ion homeostasis","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0086002","cardiac muscle cell action potential involved in contraction","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0098882","structural constituent of presynaptic active zone","MF",0.00714791953844263,0.456413472844137,2,2
"GO:1902306","negative regulation of sodium ion transmembrane transport","BP",0.00714791953844263,0.456413472844137,2,2
"GO:0005758","mitochondrial intermembrane space","CC",0.00828011635538714,0.523199852206025,6,22
"GO:0005852","eukaryotic translation initiation factor 3 complex","CC",0.00850473331466395,0.531852703987129,5,16
"GO:0005730","nucleolus","CC",0.00880090596096152,0.544758117950945,25,179
"GO:0010507","negative regulation of autophagy","BP",0.00993277657682078,0.602522227149948,3,6
"GO:0061656","SUMO conjugating enzyme activity","MF",0.00993277657682078,0.602522227149948,3,6
"GO:0031209","SCAR complex","CC",0.0103601765375267,0.613447811361464,4,11
"GO:0042130","negative regulation of T cell proliferation","BP",0.0103601765375267,0.613447811361464,4,11
"GO:0005666","RNA polymerase III complex","CC",0.0104162750692764,0.613447811361464,6,23
"GO:0016925","protein sumoylation","BP",0.0109858823564702,0.640772715137962,7,30
"GO:0000398","mRNA splicing, via spliceosome","BP",0.0121358599492749,0.701105966212393,19,129
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP",0.0126844937307405,0.725427158783893,8,38
"GO:0000413","protein peptidyl-prolyl isomerization","BP",0.0129156170703364,0.725427158783893,6,24
"GO:0006506","GPI anchor biosynthetic process","BP",0.0129156170703364,0.725427158783893,6,24
"GO:0005762","mitochondrial large ribosomal subunit","CC",0.0131788429904934,0.73342074844342,7,31
"GO:0016973","poly(A)+ mRNA export from nucleus","BP",0.014478079247717,0.793188381560518,5,18
